xihao,0£¨0h£©,1£¨0.5h£©,2(1h),3(1.5h),4(2h),5(4h),6(6h),7(8h),8(10h),9(12h),10(16h),11(20h),12(24h£©,13(30h),14(36h)
J12,5.00E+03,4.52E+04,8.25E+04,1.75E+06,4.82E+05,1.31E+06,6.69E+07,5.15E+08,3.66E+09,3.80E+09,1.29E+09,4.98E+08,9.21E+08,1.30E+08,1.51E+08
J13,5.00E+03,3.28E+05,2.63E+05,8.53E+05,6.45E+06,1.65E+08,1.52E+08,4.83E+08,8.51E+08,2.16E+09,2.42E+09,4.15E+08,6.84E+08,1.28E+09,9.36E+08
J14,5.00E+03,4.99E+04,4.76E+05,6.68E+05,4.57E+06,7.68E+07,5.17E+08,8.60E+08,1.24E+09,2.10E+09,9.83E+08,4.64E+08,9.85E+08,2.01E+09,4.93E+08
J15,5.00E+03,1.24E+04,2.16E+05,3.98E+05,2.06E+06,6.85E+07,1.09E+09,2.23E+09,5.52E+09,7.61E+09,1.22E+10,1.14E+10,4.57E+09,8.15E+08,5.36E+07
J16,5.00E+03,1.21E+05,4.80E+04,1.19E+05,2.48E+05,2.69E+06,3.88E+06,1.61E+08,7.98E+07,2.07E+08,1.57E+08,1.99E+07,3.34E+07,2.53E+07,2.00E+07
J17,5.00E+03,1.66E+05,1.08E+06,1.14E+06,5.81E+06,1.04E+08,1.15E+09,1.25E+09,7.80E+09,6.20E+09,4.63E+09,2.53E+09,3.34E+09,2.53E+09,2.00E+09
J18,5.00E+03,1.08E+05,3.82E+05,8.62E+05,5.93E+05,1.32E+07,3.62E+08,2.61E+08,4.88E+09,1.54E+09,5.73E+09,3.43E+09,3.34E+09,2.53E+09,2.00E+09
J19,5.00E+03,7.60E+04,1.07E+05,6.11E+05,8.10E+07,8.41E+07,2.04E+07,1.95E+09,1.67E+09,2.24E+09,3.71E+09,1.35E+09,9.05E+08,3.13E+08,9.24E+08
J20,5.00E+03,4.91E+04,1.35E+05,1.06E+05,1.91E+05,1.44E+06,2.97E+07,1.79E+07,3.95E+07,1.80E+07,4.12E+07,1.57E+08,3.41E+07,1.58E+08,5.73E+07
J21,5.00E+03,8.16E+04,1.31E+04,1.42E+05,3.76E+04,6.02E+05,2.63E+07,2.81E+07,1.20E+08,4.02E+06,1.22E+06,1.72E+06,3.16E+06,8.46E+05,3.50E+07
