,0£¨0h£©,1£¨0.5h£©,2(1h),3(1.5h),4(2h),5(4h),6(6h),7(8h),8(10h),9(12h),10(16h),11(20h),12(24h£©,13(30h),14(36h)
D75,5.00E+03,5.25E+06,9.29E+06,4.57E+06,6.23E+06,8.30E+07,4.90E+09,1.59E+10,2.55E+10,9.04E+10,5.78E+10,1.71E+10,1.29E+10,1.06E+10,6.95E+08
D76,5.00E+03,1.48E+06,6.65E+05,4.53E+06,9.59E+06,2.16E+07,1.28E+09,6.17E+09,4.40E+09,8.21E+09,7.54E+09,7.40E+09,7.76E+09,6.68E+09,5.97E+09
D77,5.00E+03,1.84E+06,4.30E+06,7.80E+06,1.98E+07,2.47E+08,1.15E+10,1.88E+10,1.85E+10,2.66E+10,2.49E+10,2.87E+10,1.79E+10,1.47E+10,1.64E+10
D78,5.00E+03,1.88E+06,7.05E+06,1.15E+07,1.40E+07,2.61E+08,5.39E+09,1.49E+10,1.52E+10,2.22E+10,1.70E+10,1.80E+10,1.86E+10,2.15E+10,1.69E+10
D79,5.00E+03,1.80E+06,2.36E+06,5.41E+06,5.34E+06,1.02E+08,3.44E+09,6.57E+09,7.82E+09,2.08E+10,2.18E+10,2.08E+10,1.35E+10,1.99E+10,4.06E+09
D80,5.00E+03,2.15E+06,1.99E+06,2.79E+06,1.20E+07,1.30E+08,6.64E+09,2.86E+10,2.51E+10,3.38E+10,2.56E+10,2.24E+10,1.70E+10,2.26E+10,2.28E+10
D81,5.00E+03,1.69E+06,3.73E+06,2.90E+04,1.93E+07,1.94E+08,2.93E+09,3.11E+09,1.66E+10,1.86E+10,3.20E+10,4.09E+10,1.71E+10,6.11E+09,2.26E+09
D82,5.00E+03,3.43E+05,3.01E+05,7.28E+05,8.54E+05,9.65E+05,1.31E+06,6.16E+06,2.54E+07,5.26E+07,4.08E+07,1.68E+07,1.32E+06,5.78E+05,3.66E+04
D83,5.00E+03,9.62E+05,3.45E+06,1.37E+06,6.28E+06,1.14E+08,1.10E+09,3.02E+09,2.15E+10,2.89E+10,2.20E+10,1.75E+10,9.24E+09,1.31E+09,5.81E+08
D84,5.00E+03,8.31E+05,5.15E+06,5.27E+06,4.02E+06,1.96E+08,2.04E+09,1.22E+10,2.03E+10,2.16E+10,2.46E+10,3.42E+10,5.15E+10,2.41E+08,6.26E+04
D85,5.00E+03,1.01E+06,2.70E+06,4.15E+06,1.24E+07,1.43E+08,5.30E+09,5.73E+09,1.73E+10,1.80E+10,1.34E+10,1.46E+10,4.79E+09,2.34E+08,1.32E+08
D86,5.00E+03,1.36E+06,2.39E+06,3.68E+06,4.54E+06,6.25E+06,8.15E+06,8.54E+06,1.62E+07,1.74E+07,3.27E+07,3.61E+07,1.94E+08,3.10E+07,8.22E+06
D87,5.00E+03,2.54E+06,4.24E+06,4.90E+06,5.76E+06,1.56E+07,2.21E+07,3.57E+07,1.44E+07,4.79E+07,1.00E+07,7.39E+06,4.04E+06,3.71E+05,2.01E+05
