,0£¨0h£©,1£¨0.5h£©,2(1h),3(1.5h),4(2h),5(4h),6(6h),7(8h),8(10h),9(12h),10(16h),11(20h),12(24h£©,13(30h),14(36h)
P62,5.00E+03,1.64E+06,1.80E+06,1.88E+06,2.00E+06,4.64E+06,1.64E+08,2.39E+08,1.44E+08,1.43E+08,6.21E+08,2.42E+09,1.30E+09,2.35E+09,7.86E+09
P63,5.00E+03,4.57E+04,7.39E+04,8.57E+04,9.79E+04,1.01E+05,1.04E+05,5.56E+07,2.23E+07,3.36E+07,3.08E+08,2.67E+09,5.60E+09,4.56E+09,4.57E+09
P64,5.00E+03,2.38E+06,1.44E+07,2.30E+07,2.71E+07,2.11E+07,5.90E+06,5.73E+06,1.10E+07,1.76E+08,1.34E+08,1.42E+09,1.45E+08,5.09E+07,6.91E+07
P65,5.00E+03,7.89E+06,4.09E+06,3.49E+06,5.72E+06,1.31E+07,7.09E+07,1.09E+08,6.10E+07,6.00E+07,4.30E+08,2.74E+08,5.98E+08,2.37E+08,2.98E+07
P66,5.00E+03,3.73E+05,6.20E+05,1.85E+06,1.38E+06,9.40E+06,4.26E+08,2.19E+08,1.97E+08,1.47E+08,8.75E+07,3.10E+07,2.76E+07,4.36E+06,1.41E+06
P67,5.00E+03,1.80E+06,7.74E+05,1.05E+06,1.17E+06,1.78E+06,4.21E+06,6.61E+07,7.20E+07,1.94E+08,5.19E+08,1.84E+10,3.47E+10,7.29E+09,6.38E+09
P68,5.00E+03,7.24E+05,1.02E+06,1.14E+06,1.17E+06,1.52E+06,3.98E+06,2.03E+07,8.79E+07,2.50E+08,7.59E+08,2.60E+10,3.49E+10,6.22E+09,3.42E+07
P69,5.00E+03,6.30E+05,6.11E+05,1.63E+06,1.79E+06,3.56E+06,1.75E+07,3.46E+06,3.10E+07,1.73E+07,1.15E+08,1.80E+09,4.85E+09,1.14E+10,9.77E+09
P70,5.00E+03,7.08E+05,6.47E+05,8.76E+05,1.27E+06,8.52E+05,1.18E+07,6.75E+06,1.53E+07,5.27E+07,1.82E+08,1.27E+08,2.80E+09,5.80E+09,7.42E+09
P71,5.00E+03,5.44E+07,9.30E+07,1.19E+08,2.01E+08,5.75E+08,3.57E+09,3.28E+09,2.05E+08,1.51E+08,1.10E+08,7.03E+07,1.92E+07,8.33E+06,7.50E+06
P72,5.00E+03,1.50E+07,1.89E+07,4.30E+06,5.06E+06,1.01E+07,3.72E+07,3.53E+07,4.78E+07,1.61E+08,1.70E+10,9.21E+08,4.28E+09,1.44E+10,3.80E+10
P73,5.00E+03,1.39E+07,7.41E+06,3.40E+06,4.39E+06,6.49E+06,3.22E+07,5.51E+07,5.49E+07,1.90E+08,1.76E+09,1.08E+10,1.87E+10,7.32E+09,1.93E+10
P74,5.00E+03,6.62E+06,1.02E+07,6.77E+06,4.17E+06,6.50E+06,1.03E+08,2.01E+08,5.32E+08,6.61E+08,4.29E+09,7.71E+09,1.49E+10,1.79E+10,2.46E+10
P75,5.00E+03,1.51E+07,9.71E+06,8.18E+06,9.30E+06,1.24E+07,6.75E+07,1.09E+08,3.42E+08,6.31E+08,3.44E+09,1.08E+10,9.35E+09,1.20E+10,1.23E+10
P76,5.00E+03,3.31E+06,2.72E+06,6.34E+06,4.92E+06,6.24E+06,8.41E+07,2.63E+08,4.98E+07,1.08E+08,1.85E+09,3.37E+09,3.49E+08,1.68E+09,2.82E+09
P77,5.00E+03,3.62E+06,7.66E+06,4.28E+06,6.46E+06,3.26E+07,2.00E+08,2.14E+08,1.13E+08,2.70E+08,5.75E+08,4.99E+08,1.54E+08,1.76E+09,4.75E+09
